"Category","Item","Status","Details","Priority"
"Graph Construction","建立 model graph 的 DAG 表示","Done","將 op 當節點；將 tensor dependency 當邊；建 producer / consumer graph","High"
"Graph Construction","建立 topological order","Done","","High"
"Graph Construction","建立 predecessor / successor adjacency","Done","","High"
"Candidate Group Generation","產生 fusion candidates","Partial","已有 interval mode；已有 seed-growth mode；但目前主要穩定路徑仍偏 topo-interval","High"
"Candidate Group Generation","讓 DAG-aware seed growth 成為主路徑","Todo","","High"
"Candidate Group Generation","支援更一般的 DAG group，而不只偏 linear / contiguous pattern","Todo","","High"
"Valid Fused Group Checking","檢查 connected subgraph","Done","","High"
"Valid Fused Group Checking","分析 boundary inputs / boundary outputs / internal tensors","Done","","High"
"Valid Fused Group Checking","檢查 fusion legality","Partial","已有基本 connected / dependency 檢查；但仍有偏保守的 heuristic 限制","High"
"Valid Fused Group Checking","讓 legality 更接近 paper 的 execution-validity 定義","Todo","","High"
"Valid Fused Group Checking","降低對 shape-based early reject 的依賴","Todo","","Medium"
"Partition Search","使用 DP 選擇 candidate partition","Done","","High"
"Partition Search","使用 memoization 避免重算","Done","","High"
"Partition Search","retain-aware state 已接入","Partial","但整體 search quality 仍受 candidate 空間限制","High"
"Partition Search","讓 partition search 更完整反映 paper 的 DAG fusion search","Todo","","High"
"Cost Model","有 contest-aligned latency scorer","Done","由 evaluator.cpp 重算 latency / legality","High"
"Cost Model","有 conv-style accelerator guidance model","Partial","由 conv_accelerator.cpp 提供 working set / traffic / refill / ISOA 分析；但目前只作為 guidance","High"
"Cost Model","建立更完整的 paper-style memory cost model","Todo","activation traffic；parameter traffic；parameter reload；subgroup overhead","High"
"Cost Model","讓 conv cost model 不只是 rerank，而能主導 candidate quality","Todo","","High"
"Working Set Analysis","contest path 有 working set 檢查","Done","","High"
"Working Set Analysis","conv path 有 chain working set 分析","Partial","","Medium"
"Working Set Analysis","讓 fused group 的 working set 分析更接近 paper accelerator model","Todo","","High"
"Working Set Analysis","明確整合 activation / parameter / line buffer footprint","Todo","","Medium"
"Tile Selection","有 granularity / tile candidate 枚舉","Done","","High"
"Tile Selection","conv path 有 terminal tile 到 per-op tile 的 backward propagation","Partial","","Medium"
"Tile Selection","讓 tile selection 更 strongly guided by accelerator model","Todo","","High"
"Tile Selection","讓 tile search 與 scheduler / ISOA 一起最佳化","Todo","","High"
"Scheduler","已有 scheduler-like 分析骨架","Partial","subgroup_count；memory traffic estimate；pseudo conv tile analysis","Medium"
"Scheduler","建立真正的 fused-group scheduler 決策流程","Todo","","High"
"Scheduler","讓 scheduler 成為 solver 主決策的一部分，而不是只做 ranking signal","Todo","","High"
"ISOA","已有 ISOA analysis module","Done","DecideISOAForChain(...)","Medium"
"ISOA","ISOA 已存在於 conv_accelerator，但尚未真正接進 solver 主流程","Partial","","High"
"ISOA","讓 solver 對同一 group 比較 ISOA / non-ISOA schedule","Todo","","High"
"ISOA","讓 ISOA 影響 candidate cost 與最終決策","Todo","","High"
"Accelerator Config","已有 ConvAcceleratorSpec","Partial","","Medium"
"Accelerator Config","目前 accelerator spec 主要由 heuristic 推導","Partial","","Medium"
"Accelerator Config","將 accelerator spec 變成正式可配置輸入","Todo","dataflow；PE shape；throughput；line buffer；RF / SRAM capacity","High"
"Operator Schema","已有 pseudo-conv mapping","Partial","將 MatMul / Pointwise 映射為 conv-like chain","High"
"Operator Schema","建立正式 conv-oriented internal IR","Todo","","High"
"Operator Schema","真正支援 Conv schema","Todo","kernel size；stride；padding；channels；weights","High"
"Heuristic Pruning","已有 candidate pruning","Done","","Medium"
"Heuristic Pruning","已有 group size heuristic","Done","","Medium"
"Heuristic Pruning","已有 conv-guided local rerank / pruning","Partial","","Medium"
"Heuristic Pruning","加強 runtime guard","Todo","rerank budget；chain size gate；internalized-bytes gate；conv guidance cache","High"
"Heuristic Pruning","發展 online-style fast variant","Todo","","Medium"
"Conv Backend Integration","conv_accelerator 已編進 build","Done","","Medium"
"Conv Backend Integration","已有 active conv-guided backend","Done","optimus_conv；optimus_conv_v2","Medium"
"Conv Backend Integration","conv backend 目前是 paper-like guidance path","Partial","","High"
"Conv Backend Integration","讓 conv backend 成為真正獨立的 paper backend","Todo","","High"
"Conv Backend Integration","讓 conv scheduler 主導 search，而不只是輔助 contest proxy","Todo","","High"
"Evaluation / Validation","有獨立 evaluator，會重算 legality 與 latency","Done","","High"
"Evaluation / Validation","benchmark comparison framework 已可用於比較 backend","Done","","Medium"
"Evaluation / Validation","建立更完整的 ablation","Todo","interval vs seed-growth；optimus vs optimus_conv vs optimus_conv_v2；conv rerank budget / pruning gate；dataflow 設定差異","Medium"
"Recommended Next Order","先收斂 optimus_conv_v2 runtime","Todo","","High"
"Recommended Next Order","讓 conv guidance 從 rerank 變成 candidate filter / pruning 主力","Todo","","High"
"Recommended Next Order","讓 seed-growth 成為主要 candidate generation 路徑","Todo","","High"
"Recommended Next Order","放寬目前過度保守的合法性限制","Todo","","High"
"Recommended Next Order","讓 ISOA 真正接進 solver 主流程","Todo","","High"
"Recommended Next Order","建立正式 conv IR","Todo","","High"
"Recommended Next Order","補正式 accelerator config input","Todo","","High"
"Recommended Next Order","讓 conv scheduler 主導 backend","Todo","","High"
"Current Summary","目前最穩定的主版本是 optimus","Done","","Info"
"Current Summary","目前最接近 paper 方向的是 optimus_conv_v2","Done","","Info"
"Current Summary","目前最大的缺口","Done","conv backend fidelity；search space quality；runtime scalability","Info"
